Year,Name,College,POS,Height_in,Weight_lbs,Hand_Size_in,Arm_Length_in,40_Yard_sec,Bench_Press,Vert_Leap_In,Broad_Jump_in,Shuttle_Shuttle,3Cone,Team,Round,Draft_Order,Rush_Attempt_pg,GP,Total_Yrd_pg,TD,Rush_PA,Rush_Yds_Gm,Total_Yds
2016,Jaylen Walton,Mississippi,RB,68,176,8.5,27.375,4.52,12,34.5,114,4.3,7.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,DeAndre Washington,Texas Tech,RB,68.25,204,9,30,4.49,24,34.5,116,4.2,7.03,Raiders,5,143,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Dwayne Washington,Washington,RB,73,223,9.88,32.375,4.48,21,37.5,127,4.22,6.85,Lions,7,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Brandon Wilds,South Carolina,RB,72.75,220,10.25,32,4.54,21,36.5,118,4.33,7.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Jonathan Williams,Arkansas,RB,70.75,220,10,31.63,4.63,16,,,4.29,6.97,Bills,5,156,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Rodrick Williams,Minnesota,RB,69.13,224,9.38,30.5,4.7,14,35,112,4.41,7.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Ameer Abdullah,Nebraska,RB,68.75,205,8.63,30,4.6,24,42.5,130,3.95,6.79,Lions,2,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Malcolm Agnew,Southern Illinois,RB,69.13,202,8.75,31,4.59,19,37,129,3.9,6.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Jay Ajayi,Boise State,RB,71.75,221,10,32,4.57,19,39,121,4.1,7.1,Dolphins,5,149,16.095,29,16.095,9,4.545,73.58,84.255
2015,Javorius Allen,Southern California,RB,72.5,221,9.38,31.75,4.53,11,35.5,121,4.28,6.96,Ravens,4,125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Cameron Artis-Payne,Auburn,RB,69.75,212,8.88,29.63,4.53,,36.5,118,4.25,7.13,Panthers,5,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Bill Belton,Penn State,RB,68.88,204,9,30.5,4.55,15,35.5,122,4.43,7.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Joe Bergeron,Texas A&M-Commerce,RB,72.13,235,10.38,32.125,4.62,17,31,110,4.34,7.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Dominique Brown,Louisville,RB,73.88,234,9.5,32.38,4.62,17,32.5,109,4.2,7.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Malcolm Brown,Texas,RB,71.38,224,10.25,32.75,4.62,19,34.5,117,4.15,6.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Jesse Callier,Washington,RB,70.25,202,9.13,30.25,4.53,18,32.5,114,4.45,7.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,B.J. Catalon,Texas Christian,RB,67.38,186,9,30,4.57,20,36,114,4.15,6.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Jawon Chisholm,Akron,RB,72.75,202,9.13,31.625,4.63,19,38,130,4.4,7.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,David Cobb,Minnesota,RB,70.88,229,9.38,31.63,4.59,17,38.5,121,4.55,7.01,Titans,5,138,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Tevin Coleman,Indiana,RB,71.38,206,8.63,32,4.59,22,,,,,Falcons,3,73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Tony Creecy,North Carolina State,RB,70.38,215,8.5,31.125,4.56,19,33,122,4.35,6.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,John Crockett,North Dakota State,RB,71.75,217,9.75,31,4.62,15,40,125,4.25,7.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Mike Davis,South Carolina,RB,69.13,217,9.38,30.25,4.61,17,34,116,4.18,7,49ers,4,126,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Synjyn Days,Georgia Tech,RB,72.63,232,9.38,33.375,4.67,22,31,116,4.31,6.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Michael Dyer,Louisville,RB,68.5,218,9.5,30.63,4.58,26,34,120,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Jahwan Edwards,Ball State (IN),RB,69.5,220,8.88,31.63,4.8,16,35.5,117,4.5,7.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Melvin Gordon,Wisconsin,RB,72.63,215,9.75,32.38,4.52,19,35,126,4.07,7.04,Chargers,1,15,16.2525,55,16.2525,28,4.09,66.3225,95.4525
2015,Corey Grant,Auburn,RB,68.88,201,8.25,30.875,4.28,22,37,127,4.08,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Prince-Tyson Gulley,Syracuse,RB,68,194,8.38,28.25,4.63,12,32,118,4.39,7.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Todd Gurley,Georgia,RB,72.63,222,10,31.5,4.52,17,,,,,Rams,1,10,17.9725,58,17.9725,46,4.395,79.1875,111.4025
2015,Alonzo Harris,Louisiana-Lafayette,RB,73,243,10.13,33.5,4.56,15,36,127,4.51,7.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Dee Hart,Colorado State,RB,67.5,199,9,29.75,4.8,,33,113,4.38,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Braylon Heard,Kentucky,RB,69.63,198,9,30.25,4.63,19,30.5,116,4.4,7.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Joe Hill,Utah State,RB,70.38,183,9.5,31.125,4.3,9,34.5,116,4.59,7.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Keshawn Hill,Sam Houston State (TX),RB,69.75,211,8.75,29.625,4.59,30,35.5,115,4.41,7.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Nick Hill,Michigan State,RB,65.75,197,8.75,27.875,4.4,21,32,115,4.21,7.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Kenny Hilliard,Louisiana State,RB,71.63,226,9.25,31.25,4.83,16,27,111,4.4,7.17,Texans,7,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Akeem Hunt,Purdue,RB,69.75,189,9.75,31.125,4.38,14,37.5,122,4.07,6.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Jordon James,UCLA,RB,68.5,194,8.38,30.375,4.43,18,34.5,131,4.39,7.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,David Johnson,Northern Iowa,RB,72.63,224,9.63,31.25,4.5,25,41.5,127,4.27,6.82,Cardinals,3,86,12.346,73,12.346,39,4.178,51.324,84.528
2015,Duke Johnson,Miami (FL),RB,69.13,207,9.25,30.38,4.54,18,33.5,121,4.16,6.88,Browns,3,77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Gus Johnson,Stephen F. Austin (TX),RB,69.63,215,9.13,29.63,4.7,26,36.5,120,4.13,7.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Matt Jones,Florida,RB,74.38,231,8.63,32,4.61,20,31.5,112,4.2,6.84,Redskins,3,95,11.08,13,11.08,3,3.4,37.69,61.08
2015,Terris Jones-Grigsby,Arizona,RB,66.88,198,8.5,27.75,4.56,21,36,117,4.46,7.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Marlin Lane,Tennessee,RB,71.63,210,9,31.25,4.59,,35,114,4.2,7.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Jeremy Langford,Michigan State,RB,71.63,208,8.75,31.5,4.42,19,34.5,118,4.32,7.22,Bears,4,106,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Terrence Magee,Louisiana State,RB,68.5,213,9,30,4.57,22,37,115,4.37,7.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Venric Mark,West Texas A&M,RB,66.75,175,8.63,29.875,4.38,16,32,110,4.51,7.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Lyle McCombs,Rhode Island,RB,67.75,171,,,4.57,,37.5,131,4.33,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Raheem Mostert,Purdue,RB,70.38,190,9.13,30.875,4.34,20,40,132,4.3,6.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Marcus Murphy,Missouri,RB,68.63,193,8.63,31,4.61,11,29,109,4.4,7.13,Saints,7,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Kevin Parks,Virginia,RB,66.75,201,8.75,28,4.53,21,39.5,112,4.59,7.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Thomas Rawls,Central Michigan,RB,69,215,9.5,30.75,4.65,15,35.5,116,4.37,7.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,Josh Robinson,Mississippi State,RB,67.88,217,10.13,29.75,4.7,21,32,113,4.58,7.24,Colts,6,205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
